master_id,record_type,event_date,event_year,event_month,date_precision,latitude,longitude,state,district,location_name,initiation_year,triggering_factor,material_type,movement_type,activity,landslide_area,persons_death,injury_count,source,source_event_id,source_record_url,source_records,source_count,coordinate_source,coordinate_inherited,match_confidence,data_quality,dedup_key,duplicate_group_id,is_duplicate,duplicate_of,notes,dataset_source,original_event_date,event_date_standardized,event_date_only,original_latitude,original_longitude,latitude_standardized,longitude_standardized,coordinates_valid,latitude_compare,longitude_compare,date_compare
IND-EVT-001277,EVENT,,2018.0,8.0,month,,,Karnataka,Kodagu; Dakshina Kannada,Kodagu and Dakshina Kannada districts,,Rainfall,,Shallow translational failures (majority),,,,,Landslide Atlas of India,,,Atlas:ATLAS-000019,1,,False,,MEDIUM,karnataka_kodagu dakshina kannada_kodagu dakshina kannada districts,,False,,"Text states 'due to heavy rain in the 3rd week of August, 2018' — precision finer than month but coarser than a single day, so date_precision is set to 'month' and the specific week is noted here. Two districts are named jointly in the source text.",LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001280,EVENT,2017-09-02,2017.0,9.0,day,,,Himachal Pradesh,Shimla,Shimla,,,,,,,,,Landslide Atlas of India,,,Atlas:ATLAS-000022,1,,False,,HIGH,2017-09-02_himachal pradesh_shimla_shimla,,False,,Caption under Figure 52 explicitly states '02 Sep. 2017 Landslide in Shimla'; no further description of the landslide's characteristics is given.,LandslideGuard_Project_Master,2017-09-02,2017-09-02,2017-09-02,,,,,False,,,2017-09-02
IND-EVT-001290,EVENT,,2018.0,,year,,,Kerala,Idukki (aggregate; other districts also affected),Multiple locations across Idukki district,,Rainfall,,,,,"46 (Idukki district only, aggregate of 19 separate landslides during the 2018 monsoon)",,Media/news reports,,https://www.sciencedirect.com/science/article/pii/S2211714824000372,Media:MEDIA-000006,1,,False,SOURCE,LOW,kerala_idukki aggregate other districts also affected_multiple locations across idukki,,False,,"This is an AGGREGATE figure for many separate landslides in one district during the 2018 Kerala monsoon/floods, not a single event. The 2018 Kerala floods as a whole (a much larger, mostly flood-driven disaster) killed 483 people statewide; only a portion of that is directly landslide-attributed.",LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001292,EVENT,2019-08,2019.0,8.0,month,,,Kerala,Wayanad,Puthumala,,Rainfall,,Channelized debris flow,,,17,,Media/news reports,,https://www.onmanorama.com/news/kerala/2024/07/30/wayanad-landslides-heaviest-loss-witnessed-kerala-july-august.html,Media:MEDIA-000008,1,,False,SOURCE,MEDIUM,2019-08_kerala_wayanad_puthumala,,False,,"Most sources reviewed date this to 8 August 2019 (the same day as the Kavalappara and Vilangad landslides), but at least one secondary source gave 29 August 2019. Because of this conflict, only month-level precision is used here rather than picking one exact day. This location was struck again, more catastrophically, in the July 2024 Wayanad landslides just a few km away.",LandslideGuard_Project_Master,2019-08,,,,,,,False,,,
IND-EVT-001294,EVENT,2022-06-30,2022.0,6.0,day,,,Manipur,Noney,Near Tupul railway station construction site,,Rainfall,,Large landslide (rotational-type failure inferred from geometry),,,58,,Media/news reports,,https://en.wikipedia.org/wiki/2022_Manipur_landslide,Media:MEDIA-000010,1,,False,SOURCE,HIGH,2022-06-30_manipur_noney_tupul railway station construction site,,False,,Occurred around 2:00am on 30 June 2022. Killed a mix of Territorial Army personnel (29) and civilians (29). Also documented in the Landslide Atlas of India (see ATLAS-000014 in the earlier CSV).,LandslideGuard_Project_Master,2022-06-30,2022-06-30,2022-06-30,,,,,False,,,2022-06-30
IND-EVT-001296,EVENT,2023-08-14,2023.0,8.0,day,,,Himachal Pradesh,Shimla,"Summer Hill (Shiv Bawri temple) and Fagli areas, Shimla",,Rainfall,,Slope failure destroying a temple structure; a separate slide damaged the Kalka-Shimla heritage railway line,,,"Approximately 14-17 (news reports on the day cited 9, rising to 14, with two separate Shimla landslide sites; the broader 14 August Himachal Pradesh rain event killed at least 51-57 people statewide)",,Media/news reports,,https://eos.org/thelandslideblog/the-14-august-2023-landslides-in-himachal-pradesh-india,Media:MEDIA-000012,1,,False,SOURCE,MEDIUM,2023-08-14_himachal pradesh_shimla_summer hill shiv bawri temple fagli areas shimla,,False,,"A crowded Shiv temple at Summer Hill, Shimla, collapsed onto worshippers during an important day of the Hindu month of Sawan.",LandslideGuard_Project_Master,2023-08-14,2023-08-14,2023-08-14,,,,,False,,,2023-08-14
IND-EVT-001297,EVENT,2023-08-14,2023.0,8.0,day,,,Himachal Pradesh,Solan,"Jadon village, Kandaghat subdivision",,Rainfall,,,,,7 (all from a single family),,Media/news reports,,https://eos.org/thelandslideblog/the-14-august-2023-landslides-in-himachal-pradesh-india,Media:MEDIA-000013,1,,False,SOURCE,MEDIUM,2023-08-14_himachal pradesh_solan_jadon kandaghat subdivision,,False,,Part of the same 14 August 2023 Himachal Pradesh rain event as the Shimla and Mandi landslides listed separately here.,LandslideGuard_Project_Master,2023-08-14,2023-08-14,2023-08-14,,,,,False,,,2023-08-14
IND-EVT-001298,EVENT,2023-08-14,2023.0,8.0,day,,,Himachal Pradesh,Mandi,Seghli,,Rainfall,,,,,7,,Media/news reports,,https://eos.org/thelandslideblog/the-14-august-2023-landslides-in-himachal-pradesh-india,Media:MEDIA-000014,1,,False,SOURCE,MEDIUM,2023-08-14_himachal pradesh_mandi_seghli,,False,,"Part of the same 14 August 2023 Himachal Pradesh rain event; Mandi district recorded 19 rain-related deaths in total that day per Wikipedia's '2023 Himalayan floods' summary, of which this landslide accounted for 7.",LandslideGuard_Project_Master,2023-08-14,2023-08-14,2023-08-14,,,,,False,,,2023-08-14
IND-EVT-001301,EVENT,2025-08-14,2025.0,8.0,day,,,Jammu and Kashmir,Kishtwar,"Chasoti, on the Machail Mata Yatra pilgrimage route",,Rainfall,,,,,"At least 66 confirmed, with some reports suggesting as many as 75 more people missing",,Media/news reports,,https://eos.org/thelandslideblog/vaishno-devi-1,Media:MEDIA-000017,1,,False,SOURCE,MEDIUM,2025-08-14_jammu kashmir_kishtwar_chasoti on machail mata yatra pilgrimage route,,False,,Struck pilgrims travelling the Machail Mata Yatra route.,LandslideGuard_Project_Master,2025-08-14,2025-08-14,2025-08-14,,,,,False,,,2025-08-14
IND-EVT-001303,EVENT,2025-05-31,2025.0,5.0,day,,,Assam,,Guwahati,,Rainfall,,Mudslide,,,3 (members of one family),,Media/news reports,,https://www.aljazeera.com/news/2025/6/1/dozens-killed-in-indias-northeast-after-rains-trigger-floods-landslides,Media:MEDIA-000019,1,,False,SOURCE,LOW,2025-05-31_assam_guwahati,,False,,"Part of a wider northeast-India floods/landslides event over the weekend of 31 May-1 June 2025 that killed at least 30 people across Assam, Arunachal Pradesh, Mizoram, Meghalaya, Nagaland and Tripura combined; only the Guwahati household deaths are specifically identified as a landslide/mudslide in the source reviewed.",LandslideGuard_Project_Master,2025-05-31,2025-05-31,2025-05-31,,,,,False,,,2025-05-31
IND-EVT-001304,EVENT,2025-05-31,2025.0,5.0,day,,,Mizoram,,Not specified in source,,Rainfall,,,,,5,,Media/news reports,,https://www.aljazeera.com/news/2025/6/1/dozens-killed-in-indias-northeast-after-rains-trigger-floods-landslides,Media:MEDIA-000020,1,,False,SOURCE,LOW,2025-05-31_mizoram_not specified in source,,False,,Part of the same 31 May-1 June 2025 northeast-India floods/landslides event described above; no specific village/location was named in the source reviewed.,LandslideGuard_Project_Master,2025-05-31,2025-05-31,2025-05-31,,,,,False,,,2025-05-31
IND-EVT-001305,EVENT,2025-05-31,2025.0,5.0,day,,,Meghalaya,,Not specified in source,,Rainfall,,,,,6,,Media/news reports,,https://www.aljazeera.com/news/2025/6/1/dozens-killed-in-indias-northeast-after-rains-trigger-floods-landslides,Media:MEDIA-000021,1,,False,SOURCE,LOW,2025-05-31_meghalaya_not specified in source,,False,,Part of the same 31 May-1 June 2025 northeast-India floods/landslides event described above; no specific village/location was named in the source reviewed.,LandslideGuard_Project_Master,2025-05-31,2025-05-31,2025-05-31,,,,,False,,,2025-05-31
IND-EVT-001306,EVENT,2025-10,2025.0,10.0,month,,,Himachal Pradesh,Bilaspur,Hilly road stretch near Bilaspur town,,Rainfall,,Debris fall onto a moving passenger bus,,,15,,Media/news reports,,https://www.aljazeera.com/news/2025/10/8/landslide-hits-bus-in-northern-india-killing-15-as-rescue-continues,Media:MEDIA-000022,1,,False,SOURCE,MEDIUM,2025-10_himachal pradesh_bilaspur_hilly road stretch bilaspur,,False,,"News report was published 8 October 2025 and describes the landslide as having struck 'late on Thursday' (which, depending on the exact publication time, could correspond to either 2 or 9 October 2025); exact day left as month-level precision because of this ambiguity. 20-25 passengers were reportedly on the bus.",LandslideGuard_Project_Master,2025-10,,,,,,,False,,,
IND-EVT-001309,EVENT,,2026.0,,year,,,Assam,Sivasagar (worst-hit),"Multiple locations, Assam",,Rainfall,,,,,"87 (Assam total for the 2026 monsoon season to date; this is predominantly a flood death toll, and the source did not break out how many of these were specifically landslide-caused)",,Media/news reports,,https://www.aljazeera.com/news/2026/8/5/indias-severe-monsoon-season-causes-more-than-100-deaths-since-july,Media:MEDIA-000025,1,,False,SOURCE,LOW,assam_sivasagar worst hit_multiple locations assam,,False,,"This is a season-long aggregate figure reported in early August 2026, not a single dated event, and mixes flood and landslide fatalities. Included for completeness/context but should not be treated as one discrete landslide record.",LandslideGuard_Project_Master,,,,,,,,False,,,
IND-EVT-001310,EVENT,2026-06,2026.0,6.0,month,,,Arunachal Pradesh,,Not specified in source,,Rainfall,,,,,3,,Media/news reports,,https://india.mongabay.com/short-article/2026/06/floods-and-landslides-batter-northeast-india/,Media:MEDIA-000026,1,,False,SOURCE,LOW,2026-06_arunachal pradesh_not specified in source,,False,,"Part of the first major northeast-India flood wave of the 2026 monsoon (late June 2026), which also caused landslides and transport disruption in Meghalaya and washed away a bridge in North Sikkim, though no further landslide deaths were reported for those two states in the source reviewed.",LandslideGuard_Project_Master,2026-06,,,,,,,False,,,
IND-EVT-001311,EVENT,2021-02-07,2021.0,2.0,day,,,Uttarakhand,Chamoli,Chamoli / Ronti Peak - Rishiganga-Dhauliganga valleys,,,,Rock-ice avalanche transforming into debris flow/flash flood,,,~200 (83+ confirmed bodies; many missing declared),Many,India Landslides 2021-2026 compiled dataset,RECENT-001,,Recent2021_2026:1,1,,False,SOURCE,LOW,2021-02-07_uttarakhand_chamoli_chamoli ronti peak rishiganga dhauliganga valleys,,False,,Destroyed Rishiganga and Tapovan hydropower projects; major cascading hazard; ~27 million m³ rock+ice. USGS/Science papers; NDMA reports. Missing: ~100+,LandslideGuard_Project_Master,2021-02-07,2021-02-07,2021-02-07,,,,,False,,,2021-02-07
IND-EVT-001313,EVENT,2022-06-30,2022.0,6.0,day,,,Manipur,Noney district,Noney district / Tupul-Marangching railway construction site,,,,Large landslide,,,58-61,18,India Landslides 2021-2026 compiled dataset,RECENT-003,,Recent2021_2026:3,1,,False,SOURCE,LOW,2022-06-30_manipur_noney_noney tupul marangching railway construction site,,False,,Hit Territorial Army camp and railway workers; debris blocked river. Wikipedia and state reports; final toll around 58-61. Missing: 3-5 (later some declared dead),LandslideGuard_Project_Master,2022-06-30,2022-06-30,2022-06-30,,,,,False,,,2022-06-30
IND-EVT-001314,EVENT,2023-Monsoon (esp. July-Aug),2023.0,7.0,month,,,Himachal Pradesh,multiple districts,multiple districts,,,,Widespread rain-triggered landslides and floods,,,Hundreds (state totals high; part of larger monsoon toll),Many,India Landslides 2021-2026 compiled dataset,RECENT-004,,Recent2021_2026:4,1,,False,SOURCE,LOW,2023-Monsoon (esp. July-Aug)_himachal pradesh_multiple districts_multiple districts,,False,,Major infrastructure and highway damage; combined flood/landslide losses significant. State/MHA reports. Missing: Many,LandslideGuard_Project_Master,2023-Monsoon (esp. July-Aug),,,,,,,False,,,
IND-EVT-001318,EVENT,2024-Monsoon,2024.0,,year,,,Himachal Pradesh & Uttarakhand,multiple,multiple,,,,Numerous landslides,,,Dozens to hundreds (combined with floods),Many,India Landslides 2021-2026 compiled dataset,RECENT-008,,Recent2021_2026:8,1,,False,SOURCE,LOW,2024-Monsoon_himachal pradesh uttarakhand_multiple_multiple,,False,,Highway closures; hydro damage. Annual monsoon patterns. Missing: Many,LandslideGuard_Project_Master,2024-Monsoon,,,,,,,False,,,
IND-EVT-001319,EVENT,2025-06/07 (esp. late June),2025.0,6.0,month,,,Himachal Pradesh,Mandi district,Mandi district / Thunag-Janjehli etc.,,,,Cloudburst-triggered landslides/flash floods/debris flows,,,At least 15+ (part of larger seasonal toll),Many,India Landslides 2021-2026 compiled dataset,RECENT-009,,Recent2021_2026:9,1,,False,SOURCE,LOW,2025-06/07 (esp. late June)_himachal pradesh_mandi_mandi thunag janjehli etc,,False,,Cascading events; multiple sites. Scientific preliminary investigations. Missing: 27+,LandslideGuard_Project_Master,2025-06/07 (esp. late June),,,,,,,False,,,
IND-EVT-001321,EVENT,2025-08-14,2025.0,8.0,day,,,Jammu & Kashmir,Kishtwar,Kishtwar / Chasoti-Paddar,,,,Cloudburst/debris flow/landslide,,,50+,100+,India Landslides 2021-2026 compiled dataset,RECENT-011,,Recent2021_2026:11,1,,False,SOURCE,LOW,2025-08-14_jammu kashmir_kishtwar_kishtwar chasoti paddar,,False,,Hit pilgrimage route area. Preliminary studies. Missing: Many,LandslideGuard_Project_Master,2025-08-14,2025-08-14,2025-08-14,,,,,False,,,2025-08-14
IND-EVT-001324,EVENT,2025 overall (monsoon),2025.0,,year,,,,,Northwestern Himalaya (HP,,,,UK,,,J&K) + Northeast,Hundreds of rainfall-induced landslides,India Landslides 2021-2026 compiled dataset,RECENT-014,,Recent2021_2026:14,1,,False,SOURCE,LOW,2025 overall (monsoon)_northwestern himalaya hp,,False,,HP 160+ Missing: High hundreds (e.g.,LandslideGuard_Project_Master,2025 overall (monsoon),,,,,,,False,,,
IND-EVT-001325,EVENT,2026-07 (approx.),2026.0,,year,,,Sikkim,Namchi,Namchi / under-construction tunnel,,,,Landslide causing tunnel collapse,,,10+,-,India Landslides 2021-2026 compiled dataset,RECENT-015,,Recent2021_2026:15,1,,False,SOURCE,LOW,2026-07 (approx.)_sikkim_namchi_namchi under construction tunnel,,False,,Workers trapped; rescue ongoing at time of reports. Missing: Several trapped initially,LandslideGuard_Project_Master,2026-07 (approx.),,,,,,,False,,,
IND-EVT-001326,EVENT,2026 (partial to Sept),2026.0,9.0,month,,,Kerala,,Various (Kerala Wayanad tunnel area,,,,Maharashtra Pune/Maval,,,Assam,Arunachal,India Landslides 2021-2026 compiled dataset,RECENT-016,,Recent2021_2026:16,1,,False,SOURCE,LOW,2026 (partial to Sept)_kerala_various kerala wayanad tunnel,,False,,Rain-triggered landslides and related Missing: etc.),LandslideGuard_Project_Master,2026 (partial to Sept),,,,,,,False,,,
IND-EVT-001358,EVENT,10th & 16th July 2019,2019.0,7.0,month,,,Assam,,"Amiya Nagar, Chandmari and Nilachalpur Bezbzruah Nagar, Guwahati, Assam",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-015,,KaggleLandslideIncidences:15,1,,False,SOURCE,MEDIUM,10th & 16th July 2019_assam_amiya nagar chandmari nilachalpur bezbzruah nagar guwahati assam,,False,,"Due to heavy rainfall from 10th to 17th July, 2019, two landslides occurred at Amiya Nagar, Chandmari and at Nilachalpur Bezbaruah Nagar, Guwahati, Assam. On 10th July 2019, a part of the road along with the retaining wall collapsed, along the approach road to the hills, near Holy Child School, Chandmari and on 16th July 2019 a boundary wall collapsed at Nilachalpur, Bezbaruah Nagar (N 26° 09' 29.0'' & E 91° 42' 45.3'') and damaged a house.",LandslideGuard_Project_Master,10th & 16th July 2019,,,,,,,False,,,
IND-EVT-001359,EVENT,2019-07-10,2019.0,7.0,day,,,,Kamrup (M),"Katahbari, Kamrup  District",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-016,,KaggleLandslideIncidences:16,1,,False,SOURCE,MEDIUM,2019-07-10_kamrup m_katahbari kamrup,,False,,"Incessant rain caused landslide at Katahbari (N 26° 07' 5.4"" & E 91° 42' 47.9"") and buried one house. The landslide occurred in the cut slope in the formation of the house. The area has very thick overburden material consisting of in-situ soil and highly weathered rock.",LandslideGuard_Project_Master,2019-07-10,2019-07-10,2019-07-10,,,,,False,,,2019-07-10
IND-EVT-001360,EVENT,2019-07-10,2019.0,7.0,day,,,,Kamrup (M),"Matia Pahar , Kamrup  District",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-017,,KaggleLandslideIncidences:17,1,,False,SOURCE,MEDIUM,2019-07-10_kamrup m_matia pahar kamrup,,False,,"Due to heavy rainfall, rockslide occurred at Matia Pahar (N 26° 06' 21.3"" & E 91° 37' 22.2"")., about 20km away from Guwahati city injuring one and affecting five persons.",LandslideGuard_Project_Master,2019-07-10,2019-07-10,2019-07-10,,,,,False,,,2019-07-10
IND-EVT-001368,EVENT,15th to 17th August 2018,2018.0,8.0,month,,,Karnataka,Landslides in Kodagu,"Landslides in Kodagu district, Karnataka",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-025,,KaggleLandslideIncidences:25,1,,False,SOURCE,MEDIUM,15th to 17th August 2018_karnataka_landslides in kodagu_landslides in kodagu karnataka,,False,,"The unprecedented heavy rainfall during 2018 in Kodagu district with 32% more than the average annual rainfall in last 20 years caused numerous landslides. The landslides caused nu loss of life, damaging property, infrastructure and communication lines. The communication line along Shiradi and Sampaje Roads connecting Mangalore with Bangalore was cut off. The note contains the study of 105 landslides in the region. All the landslides are triggerd by heavy and the major causes are modification of the natural slopes, blockage of natural drainage, water tanks / ponds in the slope and flash flood due to temporary dam formed by blockage of streams.",LandslideGuard_Project_Master,15th to 17th August 2018,,,,,,,False,,,
IND-EVT-001372,EVENT,2018-08-02,2018.0,8.0,day,,,Manipur,Tengnoupal,"cidence at Lokchao village, Tengnoupal District, Manipur",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-029,,KaggleLandslideIncidences:29,1,,False,SOURCE,MEDIUM,2018-08-02_manipur_tengnoupal_cidence lokchao tengnoupal manipur,,False,,"Excessive rainfall triggered the Lokchao rockslide (24°19´31.6´´N, 94°13´57.3´´E) occurred along Imphal-Moreh Road [NH-102] on 2nd August, 2018 blocking the road. The main causes of the slide includes extensive slope cutting exposing 18m steep cut slope.",LandslideGuard_Project_Master,2018-08-02,2018-08-02,2018-08-02,,,,,False,,,2018-08-02
IND-EVT-001373,EVENT,2018-08-02,2018.0,8.0,day,,,Sikkim,,"cidence near Kabi, border between East and North Disitrict, Sikkim",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-030,,KaggleLandslideIncidences:30,1,,False,SOURCE,MEDIUM,2018-08-02_sikkim_cidence kabi border between east north disitrict sikkim,,False,,On 2nd August 2018 incessant rainfall reactivated a landslide that occurred in mid-July along the state highway about 22 km from Gangtok on Gangtok-Mangan road via Phoodong causing disruption of traffic. The landslide is a planner rock slide blocking the road for a week.,LandslideGuard_Project_Master,2018-08-02,2018-08-02,2018-08-02,,,,,False,,,2018-08-02
IND-EVT-001378,EVENT,"June & July, 2018",2018.0,6.0,month,,,Kerala,Landslide incidence in Idukki,"cidence in Idukki district, Kerala",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-035,,KaggleLandslideIncidences:35,1,,False,SOURCE,MEDIUM,"June & July, 2018_kerala_incidence in idukki_cidence in idukki kerala",,False,,"During the initial phase of onset of south-west monsoons, ten (10) landslides (on 9th June, 2018) were reported in different parts of Idukki district, Kerala which has damaged buildings, roads, agricultural land and disruption to traffic. Majority of the landslides occurred in the fringe slopes of rugged hills bordering the Munnar plateau of Western Ghats.",LandslideGuard_Project_Master,"June & July, 2018",,,,,,,False,,,
IND-EVT-001379,EVENT,2018-06-14,2018.0,6.0,day,,,Assam,Dima Hasao,"cidence along Lumding–Badarpur Railway Line, Dima Hasao district, Assam",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-036,,KaggleLandslideIncidences:36,1,,False,SOURCE,MEDIUM,2018-06-14_assam_dima hasao_cidence along lumdingbadarpur railway line dima hasao assam,,False,,"Incessant rainfall from 12th to 14th June, 2018 triggered landslides blocking the Lumding–Badarpur railway service in Dima Hasao district of Assam. A high 382 mm of rainfall was recorded on 14.06.2018 which triggered four landslides between 2:00 PM and 3:00 PM along the Lumding–Badarpur Railway Line. The Bandarkhal landslide, located between Bridge No. 305 and Tunnel No. 19 led to the suspension of railway service in the Lumding–Badarpur line for 03 consecutive days.",LandslideGuard_Project_Master,2018-06-14,2018-06-14,2018-06-14,,,,,False,,,2018-06-14
IND-EVT-001380,EVENT,2018-06-14,2018.0,6.0,day,,,Manipur,A Ukhrul,"cidence south of Leiting village along NH-102A Ukhrul district, Manipur",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-037,,KaggleLandslideIncidences:37,1,,False,SOURCE,MEDIUM,2018-06-14_manipur_a ukhrul_cidence south of leiting along nh 102a ukhrul manipur,,False,,"On 14th June, 2018, heavy rainfall triggered landslide at about 1.5 km south of Leiting Village damaging and blocking traffic along NH-102A.",LandslideGuard_Project_Master,2018-06-14,2018-06-14,2018-06-14,,,,,False,,,2018-06-14
IND-EVT-001382,EVENT,"9 & 10 June, 2018",2018.0,6.0,month,,,Karnataka,Kodugu,"Landslides along Madikeri-Makutta and Madikeri–Koyanad-Sulya road sections, Kodugu district, Karnataka",,,,,,,,,Kaggle LandslideIncidences,KAGGLE-039,,KaggleLandslideIncidences:39,1,,False,SOURCE,MEDIUM,"9 & 10 June, 2018_karnataka_kodugu_landslides along madikeri makutta madikerikoyanad sulya road sections kodugu karnataka",,False,,"Heavy rainfall similar to cloud burst during the night of 9th and 10th June, 2018 caused many landslides in Madikeri district. A total 08 nos. of landslide sites along Madikeri-Makutta and Madikeri–Koyanad-Sulya road sections inflicted damage to road and blocked traffic.",LandslideGuard_Project_Master,"9 & 10 June, 2018",,,,,,,False,,,
